admin2Pcode,District,admin1Name_en,AREA_SQKM,T_TL,M_TL,F_TL,Inernet_Total_15 year+,Inernet_Male_15 year+,Inernet_Female_15 year+,Mobile Phone_Total_15 year+,Mobile Phone_Male_15 year+,Mobile Phone_Female_15 year+,4G Avg. UE throughput DL (MB),Literacy Rate_7year+_Overall,Literacy Rate_7year+_Male,Literacy Rate_7year+_Female,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Have financial account_Overall,Have financial account_Male,Have financial account_Female,Mobile Bank Account_Overall,Mobile Bank Account_Male,Mobile Bank Account_Female,National Grid_%,No Electricity Connection_%,Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Percentage of population in bottom 40% (%),Num_op_x_towers,Cell_tower_density,Tea_State_Count,mean_distance,min_distance,max_distance,median_distance,25_perc_distance,75_perc_distance,std_dev_distance,mean_num_tower_500m,mean_num_tower_1000m,mean_num_tower_2000m,mean_num_tower_5000m,mean_num_tower_10000m
BD4041,Jessore,Khulna,2584.93274512647,2972217,1450656,1521561,33.82,44.73,23.4,68.36,84.32,53.1,13.921744186046517,77.07,79.67,74.54,35.02,62.57,8.09,27.3,34.55,20.38,38.09,52.23,24.57,99.45,0.4,39.0,18.399999618530273,53.78873062133789,263,0.10174345947524159,0,1335.0,15.0,5794.0,1203.0,664.0,1863.0,837.0,0.21874798427945405,0.8421767732381245,2.912690222750459,12.775437777774501,38.59397992662767
BD1042,Jhalokati,Barisal,738.751912627692,639323,297582,341741,29.83,37.64,23.07,73.88,82.9,66.06,11.416162790697673,83.21,84.15,82.35,27.47,49.83,7.17,27.29,33.46,21.94,45.07,56.32,35.31,98.73,1.04,40.5,26.69999885559082,55.56083297729492,67,0.09069350461873649,0,1385.0,51.0,3992.0,1341.0,833.0,1888.0,725.0,0.13737769133440175,0.5454058244961014,1.7550216433043542,8.20450989425021,33.03131000523071
BD4044,Jhenaidah,Khulna,1956.10565641567,1910352,928616,981736,34.26,45.06,23.92,67.2,85.18,49.98,14.141395348837206,72.81,74.94,70.72,34.03,61.67,6.91,27.55,34.94,20.49,42.58,57.54,28.27,99.61,0.31,24.69999885559082,10.0,29.102479934692383,130,0.06645857782457901,0,1630.0,37.0,4743.0,1557.0,956.0,2202.0,883.0,0.1151088348775588,0.37601802549169927,1.277632994284726,5.8944021066885925,21.218095541556714
BD5038,Joypurhat,Rajshahi,960.249723121805,947031,461608,485423,27.13,36.55,18.18,66.75,84.29,50.07,12.977674418604654,73.73,76.93,70.64,31.57,55.87,7.96,28.46,36.05,21.25,42.52,59.37,26.49,98.9,0.96,26.69999885559082,12.899999618530273,35.02662658691406,57,0.05935955890171052,0,1759.0,28.0,5073.0,1677.0,1012.0,2408.0,968.0,0.10117046330398942,0.3388802272590901,1.1176117385696436,5.227912942481551,18.309819640913904
BD2046,Khagrachhari,Chittagong,2855.5443980088,697657,348683,348974,29.7,40.66,18.86,71.54,84.3,58.91,9.703999999999997,71.8,77.2,66.41,35.39,59.23,11.54,20.98,26.51,15.51,38.99,51.28,26.82,50.88,8.03,25.5,10.100000381469727,36.185001373291016,111,0.03887174721478728,1,2423.0,35.0,38178.0,1630.0,872.0,2805.0,3224.0,0.1159087594398397,0.4817076278479125,1.4536928190642535,5.430950361418896,15.302022579686675
BD4047,Khulna,Khulna,3625.14317138441,2181770,1073909,1107861,36.64,46.82,26.55,71.95,85.67,58.36,13.056279069767438,80.66,83.62,77.7,35.16,59.96,10.21,31.52,37.85,25.25,46.62,61.04,32.34,98.7,0.59,38.80000305175781,21.19999885559082,48.548194885253906,213,0.05875630007701384,0,2319.0,18.0,61419.0,938.0,365.0,2264.0,5341.0,0.6103331607150728,2.2383035969432425,7.469752087551129,27.46034918638493,63.77241973279008
BD3048,Kishoreganj,Dhaka,2564.92036390381,3150871,1502026,1648845,30.76,40.26,22.47,62.21,78.01,48.41,11.344418604651167,67.6,67.94,67.29,29.78,53.5,8.08,17.32,21.36,13.79,27.13,37.08,18.45,98.85,0.67,30.30000114440918,16.399999618530273,37.76219940185547,242,0.09434990785900108,0,1328.0,22.0,7016.0,1122.0,673.0,1665.0,963.0,0.1891145111093167,0.7066211868735093,2.3311890089139156,11.287322862500154,39.22858814196605
BD5549,Kurigram,Rangpur,2275.72392576185,2309661,1092299,1217362,19.05,29.36,9.47,64.39,84.22,45.96,10.621279069767441,65.13,68.35,62.05,30.43,54.05,7.73,18.32,23.19,13.79,45.45,62.63,29.47,96.31,1.27,63.70000076293945,44.29999923706055,83.49602508544922,80,0.035153648952923056,0,2548.0,38.0,11151.0,2131.0,1250.0,3335.0,1791.0,0.05872239629810129,0.21719383711763618,0.7554696213123656,3.5738492857366166,12.39660967897465
BD4050,Kushtia,Khulna,1614.72839716238,2099291,1018476,1080815,30.48,40.25,21.35,65.29,83.27,48.51,14.625930232558138,69.01,70.19,67.88,34.2,61.46,8.05,26.93,33.74,20.57,39.01,53.79,25.21,99.26,0.38,3.5999999046325684,0.800000011920929,1.4832344055175781,152,0.09413347796887393,0,1332.0,54.0,5401.0,1204.0,680.0,1806.0,834.0,0.17213679376649987,0.6811094436851215,2.2691945395216035,10.255653687651341,31.807568628997046
BD2051,Lakshmipur,Chittagong,1243.73249528474,1946592,905991,1040601,41.82,48.3,36.5,70.51,80.2,62.57,12.889222222222218,73.98,73.87,74.08,27.34,51.27,6.42,24.77,28.42,21.78,37.71,45.83,31.06,97.86,0.79,31.200000762939453,18.099998474121094,36.636165618896484,352,0.2830190586275654,0,860.0,22.0,5777.0,721.0,474.0,1040.0,647.0,0.32415328520349795,1.2626466859145629,4.532276117421478,24.39046828968514,88.2175748304108
BD5552,Lalmonirhat,Rangpur,1274.9137777715,1368552,666080,702472,19.49,29.83,9.41,63.41,83.74,43.56,11.11686046511628,71.3,74.53,68.09,31.82,55.66,8.07,19.06,25.05,13.22,41.15,58.57,24.15,94.19,2.46,34.5,16.69999885559082,49.888023376464844,68,0.05333694025870626,0,2001.0,20.0,8572.0,1664.0,1050.0,2588.0,1395.0,0.07949094510048511,0.30923779311029786,1.0442004954494128,5.015516873060185,17.645285408417987
BD3054,Madaripur,Dhaka,1135.27359498901,1127908,540008,587900,42.31,49.54,36.16,71.7,83.0,62.08,12.397325581395352,74.93,76.87,73.21,29.04,53.42,7.21,26.09,30.04,22.72,37.85,47.67,29.49,99.32,0.23,34.900001525878906,17.399999618530273,50.24022674560547,106,0.09336956348484977,0,1417.0,91.0,6314.0,1261.0,797.0,1826.0,896.0,0.13735603170461116,0.46852776750712766,1.5651252969835443,8.297718693668957,30.980830200142513
BD4055,Magura,Khulna,1048.76443543379,983429,470740,512689,29.86,40.47,19.92,65.81,83.19,49.52,13.134418604651161,72.21,74.37,70.14,32.16,58.22,7.04,26.62,32.66,20.96,40.95,55.44,27.37,99.31,0.46,45.400001525878906,25.899999618530273,62.018123626708984,88,0.08390826102298314,0,1525.0,33.0,4607.0,1438.0,893.0,2053.0,862.0,0.1358094270356404,0.49243137140835774,1.6058477206699733,7.707472095169072,27.70582841229928
BD3056,Manikganj,Dhaka,1374.27672348901,1463813,687335,776478,38.52,47.01,30.92,69.33,84.38,55.89,12.059222222222225,71.17,74.37,68.22,32.79,58.04,9.46,28.06,32.86,23.76,33.27,44.74,23.01,98.64,0.45,18.5,8.0,21.375043869018555,227,0.16517779579624475,0,1076.0,38.0,6124.0,912.0,571.0,1262.0,843.0,0.1989663749867336,0.7871251765400943,3.054191326253867,18.019348749406273,66.05369275612104
